most,-977135883
ec,637555681
states,-477898477
said,-959374019
to,-390598521
be,-241840761
against,-1796463417
oils,-312775825
fats,241823315
tax,325959527
majority,-1291625599
of,-2026568419
european,-370451181
community,2052914323
member,-1706405093
are,985569509
either,-1077827243
or,2061805893
have,1963998495
strong,-1939417673
reservations,91971
over,169714443
on,2130670221
both,561255503
imported,-705137879
and,-1790495719
domestically,1613975641
produced,-1897424825
proposed,-703611377
by,240209583
the,1123731421
commission,1609802929
senior,-1607526555
diplomats,1887497461
they,666148953
special,-1531056047
committee,-1555130579
agricultural,493453853
experts,275112337
from,-921922231
had,1570247839
voiced,376685537
objections,630645
measure,-910793999
during,774746833
meeting,1018608835
charged,-970652963
with,491330053
preparing,250555447
ground,844500621
for,-1271309769
annual,-593703767
farm,800962591
price,333125341
fixing,378765141
which,-178749099
begins,657756303
next,-807841497
monday,1174393473
added,-1412611177
that,894913661
only,-43029031
france,-628928887
italy,-137384753
indicated,-457495125
would,-235517779
support,1587210853
proposal,-714688145
lead,1395473701
initially,-900805477
ecus,-1306204955
per,-115849973
tonne,-374816461
round,766985955
reuter,1734680321
report,-917041785
expects,974206573
sharp,-526502203
drop,-171819743
in,1900128277
world,31683003
iron,1252921203
imports,-1624562221
seaborne,1698281
ore,-1022317671
will,1454996005
fall,453529855
sharply,-940525349
year,1234997133
declining,226199127
japan,377435845
partially,-750612205
offset,-1834268207
increased,2094464505
demand,1731115655
south,463506125
east,87244393
asia,1577769813
ocean,266117175
shipping,1201020517
consultants,-347967889
predicts,-818697287
mln,-497469795
tonnes,553774827
versus,-1634873013
it,-144058867
estimates,-1442337509
total,1855384577
bulk,-1974927909
sector,-78421569
almost,-598468897
pct,105063383
billion,-828295085
miles,-1015001701
associated,-60071565
coking,-20283761
trade,-226912887
down,-2019362451
about,1239520953
sees,2071567225
falling,1286022885
japanese,1193974033
seen,1745533973
rising,-787221081
steel,1250410625
production,849409089
korea,-1432581785
taiwan,65334013
expected,357078219
double,1743424355
their,-1068240317
output,-863708491
chinese,1550669639
increasing,-995454519
british,1223238901
french,1998860347
ministers,967743829
discuss,1911863471
public,877642591
spending,-817358467
finance,1386623361
minister,-1244825303
edouard,-492987187
balladur,2100959825
discussed,495091215
need,-1137260759
control,1962744159
talks,-1773529133
here,2029655919
today,-1415542689
chancellor,2136221699
exchequer,711863525
nigel,-1420766917
lawson,-388995195
treasury,-696814033
spokesman,1845880881
reviewed,-1972005677
economies,1415339537
domestic,1489133013
wide,1594867699
he,1451407107
declined,1545958687
comment,-2018346095
whether,1541126777
subject,-1750988769
concerted,-600663537
action,219576957
shore,-761938701
up,540172965
dollar,-1876098915
arisen,-1138617265
currency,56604673
dipped,-696418475
earlier,1391524447
this,-651915431
week,-369657591
after,-520702501
month,88785259
relative,-1548682887
stability,267345789
an,506286421
agreement,357416959
six,-530160897
major,1921242491
industrialised,-408594469
nations,-1491838841
paris,-1163095617
february,1928347667
stabilise,120621859
currencies,2109743889
fight,-654036837
proposals,380303943
francois,-738035639
guillaume,2136427045
warned,-1892743287
flatly,1933355213
reject,-1426397981
reforms,1250984125
cereals,929868089
sugar,-1685115385
oilseeds,-1445688953
sectors,-1795965801
disrupt,1673548821
these,2129486785
markets,-1137378147
shorten,-1978566339
intervention,-796240607
period,-1276036121
lower,2107655459
monthly,1604903713
premiums,-797215991
increase,-501432777
financial,1867839585
burden,-1412473707
producers,-40903629
also,673565633
result,-738634909
real,-1509239647
prices,-1067595359
told,1797121511
farmers,323197955
give,-1882217369
you,-1474401127
my,262667737
word,-2129999655
while,-787869209
not,-303453445
technical,619209811
adjustments,168785289
serious,2133522023
discussion,1558988821
simply,-672764519
reply,-768459501
negative,1129225453
bad,-353069761
conference,-1568050053
country,-1327767963
union,1749197181
fnsea,1611591497
federation,-998780947
nationale,-76418383
des,-1336406273
syndicats,1600758333
dexploitants,2100729207
agricoles,-1452952461
due,-786760717
meet,1312404673
again,2136210735
try,1938381293
agree,-257368217
package,-886878777
curb,1703500481
spiralling,2069790513
fix,-1074737313
relations,43829255
between,-1234840423
government,-1796331493
become,-1442701133
strained,-1069851477
recent,-1741683265
months,776449723
there,-1074358763
been,2026148989
sporadic,-1617895737
but,1776387191
frequent,-776480899
demonstrations,-449997017
protesting,562856299
falls,-626185605
meat,1094946713
pork,-1145320861
further,-1463215223
cutbacks,769575645
milk,-890466833
warning,-1353565403
reorganisation,-814251225
cereal,1772853497
being,246530285
producer,1594993323
crops,1575482643
won,138666435
him,-1080321261
warm,687189775
applause,-1059389059
his,1703266639
pledge,1281594049
push,-1120529987
complete,-1611074277
dismantling,1333068857
system,-343249055
cross,397645317
border,723855125
taxes,1540087103
designed,-888660175
smooth,1914270409
out,715945399
differences,-1399077311
known,-455810407
as,2079294657
monetary,2061876405
compensatory,-1209794499
amounts,-407576875
mca,101203569
however,-617649955
unlikely,-301086969
avoid,-2095727343
protests,55957825
leader,-1090430383
raymond,1011618187
lacombe,-1939169015
planned,-738522809
go,1276871617
ahead,-2123773791
series,-1407254469
abroad,-1405651839
overhaul,601252155
back,1988594067
our,1727167567
determination,-966961761
organise,191288545
coming,-321857809
weeks,722861769
reporters,1214420039
adding,1067300715
could,-1161726219
act,-953284733
favour,991214951
ministerial,-1916917039
level,-1505618411
was,-1375872035
head,-1709557963
many,-59244233
years,-534534431
before,1796932657
appointed,-1604634369
last,-1290854035
spring,1019829663
refused,-556307375
say,-924166003
felt,1087995103
doing,-217549771
good,-1332756543
job,395592695
certain,464768623
advances,-848300785
cutting,1413265641
costs,47850045
reducing,-1814346815
fiscal,-1739986059
awarding,-1172403289
drought,-1593123115
aid,1084891919
still,-1688034727
areas,-2051861151
where,-972901517
more,-1289691533
done,2095648151
such,-930966831
indebtedness,1867516373
make,-396130739
available,673920057
francs,1377254005
dlrs,302430959
help,-1603152797
reduce,-82020481
encourage,250942835
older,-1719498569
retire,1903201729
has,-1843990433
already,-108238119
announced,-415555259
clear,-1533729591
how,-1383905637
much,161220521
new,1615137243
seamless,1370741059
pipe,-1797609881
makers,590576575
form,-1029510981
export,-1557308235
cartel,1765740145
four,423630465
steelmakers,169186325
plan,-1210301731
other,-912813353
than,872299621
april,1789124751
keep,796450797
above,1957511191
company,-519315885
officials,386682681
involved,859628861
companies,1862777831
nippon,1091875397
corp,434548961
nstc,-27836249
sumitomo,1600438543
metal,-942660625
industries,1623958561
ltd,-1014778737
smit,1457587605
kokan,-742560577
kk,-1052372471
nkkt,-1713097975
kawasaki,1817906013
kaws,-2049933463
together,40194385
account,-409961591
some,-1093868763
exports,-2073585483
firms,49213063
apply,-1464498879
ministry,-1269267749
international,-399362821
industry,-934374399
approval,-1110833493
is,-1097288111
later,-488133279
under,1386364523
set,1822507727
floor,-1438185089
fallen,-1132612683
yen,-1240914525
appreciation,554714625
reduced,2077049045
caused,-2030520287
oil,-699330177
excess,-1101988395
capacity,-1934899305
resulted,1363574525
competition,664374755
calendar,-1914377447
fell,2100015887
any,-1420831627
idea,-1353849299
saying,-1950936909
depends,1166703811
partly,1423241951
volume,-1796625401
sources,322480213
estimate,1788124115
average,1465994467
rise,-1627307533
around,-1245300907
extends,418993193
parts,-220929841
free,498058589
food,-1799289391
poor,-1803899331
scheme,1995317431
distribute,287536797
surplus,-1118564077
expire,-1582864945
tuesday,1364104431
extended,-960010767
executive,2074178883
yet,-2002058073
decided,1427665953
should,-362330503
permanent,2030947183
feature,-1942688087
struggle,-521693953
find,-1555997125
use,-437055135
its,-1226058935
massive,2014061349
stocks,-320006967
produce,-857613855
beef,1688808717
butter,643940757
authorised,-207440061
distribution,1608352459
operation,-1830556745
sanctioned,-1224066827
january,1164186807
charities,-807766609
agents,1562212369
original,-916704377
needy,1158216753
survive,1661539065
unusually,-1966927215
cold,213056657
winter,-1455949979
extending,-2111884067
fully,-763734389
greece,157288101
recently,-1321565597
hit,1322694863
unseasonal,1918937339
snowstorms,1947552471
countries,1596275081
applied,-1961087863
enable,-1402402251
flour,-1590412529
semolina,250769347
olive,290110059
at,-1262443395
relatively,870801583
high,170869821
rate,1182377747
powers,2131961839
continue,-82168887
aspects,-151595143
without,1423782359
consulting,-1788106177
considering,979891167
soon,1118050929
made,1174268303
cost,1433092145
reached,1900230533
units,981940431
consideration,-226295639
end,1213548961
included,1091834561
cocoa,926089677
buffer,345488213
stock,-515273735
compromise,54694349
gaining,1303746191
acceptance,-1002610647
final,-520796895
rules,1035014795
presented,653437959
organization,561121119
icco,1038584773
council,-911322471
chairman,1829329641
denis,1589200671
bra,-343080911
kanon,-602218001
swiftly,-409779375
consumer,-832275947
members,1202676891
delegates,-327454231
we,-1930277467
close,-1209449671
nearer,1973622273
ever,1137280839
accepting,442704133
work,1186867907
do,1555249767
mama,1729520565
mohammed,-636943351
ghana,546613603
reuters,-1074475675
consumers,1901639885
accepted,75915161
morning,-1115686231
predicted,-1003234545
no,-913152745
problems,-2131432927
getting,-1333130183
full,-1080893457
sides,-1129600049
keen,481724565
come,525612293
day,-929828037
fortnight,-1833093849
long,576680067
requires,1544199141
purchases,-1511965071
non,957847335
cannot,-1813831507
exceed,1874788795
issue,-920985239
among,1128140925
contentious,-1604965371
negotiations,-1173301753
figure,1695772843
five,-1344290049
percentage,1368332243
points,1571258819
represents,1253598243
concession,-1336004583
demanded,-548001359
larger,-2129559601
allowance,483777803
wanted,1515286705
another,-1084472923
problem,114784877
area,-457357731
question,-2031072355
differentials,-303226875
different,417547513
origins,612992655
bought,1579699399
into,1623324605
manager,-1480783545
fairly,670043203
compare,1764741819
cocoas,-1639367111
offered,1570346111
narrowed,1093807917
range,342154207
what,103685155
previous,1011518469
detailed,-892520575
move,1198692139
described,-2041784951
just,-877144315
fiddling,781239021
may,1729009773
prove,-1094146519
significant,-1727054193
enough,-1140764497
appease,1655911285
were,-2104818433
satisfied,-688691993
assigned,1237716811
them,-1987345103
stated,93661883
limited,320190221
each,636485945
nearby,739930379
intermediate,945967999
forward,483717071
positions,415730339
if,1762399605
want,2019687689
take,533795355
effect,294170817
practically,-1785228881
possible,569458443
scheduled,-1060115351
gmt,1545601575
then,654841925
all,-1500344259
parties,-1701487801
vehicle,-1864310417
automobile,1675663353
manufacturers,693897081
association,330887289
first,981038153
growth,-734677247
since,358525583
june,-1957614761
when,-877038965
rose,339416479
cars,-1804706273
trucks,1003921469
buses,1303043879
those,-1731344467
vehicles,538051943
west,1828023985
germany,1461605713
britain,184031657
shipments,-1985511925
middle,-570392537
motorcycle,-511775795
th,-1481556435
consecutive,-112608007
isolated,420997847
rises,-605297425
feels,-325805511
cheated,-1071236309
becoming,1510002279
dangerously,-2079960599
europe,1946778807
feel,1647588089
promises,-2024254795
switch,-406412573
led,-521451681
businessmen,1232208845
slipped,-785950167
record,-356338389
low,-1810251501
below,408077835
making,-2059657105
exporters,1956038757
holders,-1790540923
investments,-959452019
grit,-741893577
teeth,1615700091
harder,-1553913983
kiichi,-1966943745
miyazawa,1694787875
perception,1979376115
reneged,891270041
promise,-1787983295
goes,-1885838199
deep,1407237357
centres,-1958682621
key,1507710357
maekawa,501300733
document,-1896560077
prepared,-670323429
private,442859847
formed,2096586403
prime,1561497149
yasuhiro,1449582871
nakasone,-1260568717
former,1236067207
bank,1231030899
haruo,-1157015153
recommended,1707472687
stop,1162420523
friction,-392373607
large,-777103361
surpluses,-756259121
must,-725361295
historical,-214278117
transformation,-206511417
traditional,-1097574691
policies,1533114255
economic,-938573735
management,193459731
nation,-707303389
lifestyle,1215289105
can,-1418810025
development,-1640150643
americans,540696279
europeans,1074496407
took,925426667
heart,819940919
looked,1035780309
vain,892909861
signs,-2086277351
historic,1197015369
change,-237479805
remain,-1390569831
doubtful,-94991955
short,-258733659
even,-504192417
medium,652981111
term,-2011100401
prospects,-1054798171
totally,-1752682537
transforming,344650903
habits,29055381
bubble,-321790309
frustration,-95873759
appears,1001422305
prevarication,1254110915
burst,766774065
intended,1833197957
raise,-752844009
tariffs,1972347611
grounds,-2038603655
abrogated,149727819
bilateral,-83804045
semiconductor,-213140809
pact,1188303221
margaret,181682745
thatcher,1293302103
threatened,932727755
block,2102323789
london,-1513556983
placed,513112945
restrictive,-699200227
conditions,1725625297
bid,-2101094449
firm,1975201887
cable,724833853
wireless,2069474847
join,-588622007
joint,-771376229
venture,2041870781
friday,-298678927
dealers,-1834829963
central,-817903741
banks,-1249855301
annoyed,-1162327293
practises,734754615
might,-1106324319
leave,-1165648467
alone,-2136704397
intervene,857598293
staunch,-651054189
eishiro,-1231311057
saito,792443801
top,-2049556753
business,2064779127
group,1681284313
keidanren,1578129657
spotted,1921182861
dangers,-443407189
inherent,953384519
contradictory,2013382117
views,-1068532193
november,785874493
visited,-280981435
related,1534550713
matter,-831683467
imbalance,647286997
point,-50900229
found,-1052952389
great,1478775905
cause,-1835150927
alarm,-1982057817
trip,1178707913
excessive,1784018167
degree,-412147627
hope,-1165555197
results,-77340697
explained,-1612222233
process,10973881
restructuring,-2096237777
economy,508965073
away,1266414797
dependence,-1570874869
toward,-1853773121
balance,1964624817
external,-1884926547
time,-1603184909
words,-1096678119
ignored,1929379213
industrial,772248625
policy,2073037039
director,-651610755
heinrich,-1649914139
von,860749223
moltke,-717207471
came,813910657
know,1827084777
your,1195142457
leadership,1782310639
less,310208911
outward,-185715037
looking,1746051117
inward,1956468453
one,-352227759
attracted,40656219
attention,1696219631
quick,-7061927
far,1211218439
better,1519740213
answer,1286981839
protectionism,-8830455
structural,-1724504973
within,-1533516099
kind,690865545
suggested,-1557636905
see,-319522083
changes,1179704899
occur,1001494215
near,-1105964331
future,1471893233
visiting,183470249
general,-1563078711
motors,-1852645481
roger,-1630860825
smith,1960369877
march,662145211
expectations,1863290553
now,-1945326005
ingrained,-1368294967
fault,-568729829
who,-842245059
heralded,144016823
sea,1953000869
affairs,-434550503
issued,-1774489511
leaders,1884843157
met,180716207
colleagues,-1783043335
anxious,347879305
approach,-1195895001
does,1212952891
speedy,2120381253
effective,-27239229
lord,1992515115
ray,-153747701
pennock,-258918709
important,1047533795
implication,1650272553
finally,-160497769
let,-21294433
enjoy,833577457
fruits,-2009975997
labour,388938703
philip,-326559409
caldwell,1386153229
managing,-1563668189
shearson,472647389
lehman,-1055503697
brothers,-486884789
contents,941785745
leaded,-805285939
well,808081309
issuance,1992189769
implementing,1074650499
fast,1566399677
ambassador,-2106801163
travelled,-190592079
asking,705912331
people,-1672500589
mentioned,-734005025
things,62503169
line,510973903
spirit,-1875435677
including,461406989
coal,528236409
confused,-1771709659
underlined,2104934795
reference,-424191671
so,522683673
september,1586420359
programme,-1554790241
measures,1744407657
endorsing,446849557
put,-1600362713
signature,2036020287
implement,2086433665
philippine,1839874345
coconut,-58634761
worried,-1181560717
virtually,177085623
wiped,263320607
implements,-44910403
vegetable,620802839
authority,53853263
pca,-775665645
jose,562922559
romero,391234843
did,-2047202353
think,-1612092839
impose,1547914951
because,-258313229
flak,815013489
spearheaded,-1406274129
united,1145930159
whose,612766633
soybean,-64404635
adversely,-1246153891
affected,-1227802229
spark,242133963
war,266000527
imposed,1394745035
july,331583683
add,-1497819171
entering,1469877839
philippines,1633056113
exported,254270621
worth,2051782483
copra,103784257
meal,82925913
agriculture,2098014313
secretary,148006719
carlos,-295090139
dominguez,-1793610983
raised,667988349
collapse,-2009823151
destroy,538655791
commissioner,414628671
welcomes,843077183
accord,-1085804379
stabilisation,1267092887
benefitting,275949351
promoting,513210075
equilibrium,-184942881
lorenzo,-949591413
natali,1534951185
statement,-983279157
welcoming,-357099847
part,-884197813
initiatives,841519901
taken,-1314291461
deadlock,-1276073177
initial,501880141
slows,-781096183
two,105906371
compared,1467540283
recorded,-291682747
statistics,-1940182187
office,1936979613
eurostat,1097906849
highest,-165553573
portugal,743413781
contracted,-534133751
noted,1340610901
december,1667828821
adjustment,-723981795
seasonal,-1798307189
factors,-314302335
clearly,350486325
slowing,-1632246605
beginning,321529481
summe,1814383925
study,1239648167
taking,-810266977
look,-444477077
season,-2113519807
expect,-736676191
days,-1188787685
digit,-643081625
guaranteed,1524274583
crop,860061899
comes,1563552557
subsidies,-71128499
dominate,79844265
forthcoming,1162483999
gatt,1503924069
signal,1184040423
official,291764349
start,-1119997459
wrangling,-876513175
subsidy,943057685
levels,-2117665291
paid,2053486469
worldwide,999404189
plagued,-182908645
depressed,-1205299049
largely,929631347
blamed,-1121198747
crisis,1027665773
signaled,2122519847
wants,1494306913
supply,-1622889157
pushed,690120429
list,1413658589
issues,-1775760955
negotiated,603851449
extent,332081937
view,1590243795
shared,-903353429
political,1988616957
strength,-1897673985
organised,313485363
lobbies,-1975190349
leaves,572051337
little,2066205455
room,-2144974441
manoeuvre,1146205555
appear,-461954275
opposed,-530977157
unit,309514183
ecu,-55215103
marine,2089618371
adoption,1105406063
michael,1647838645
jopling,71709305
news,645299811
held,1387681499
netherlands,617534467
denmark,1154760095
votes,-2046723517
weighted,-873935743
voting,76785765
used,-1179490911
meetings,1083603271
decision,88448785
differ,-1524303331
widely,230842431
gave,-2123328409
diverging,-1943808673
reactions,1629590819
radical,152255341
reduction,1388026047
plans,-1294990799
cut,2008002447
received,-1686002343
cases,-857945483
dismissed,-2110816809
german,-1505419059
